time_months,survival_prob,ci_lower,ci_upper
0.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
2.0,1.0,1.0,1.0
3.0,0.9986850756081531,0.9947527112452571,0.9996709782653966
4.0,0.99471941680362,0.9894687175836415,0.9973557096630564
5.0,0.9900897386669012,0.9836150541175402,0.9940136596594089
6.0,0.985460060530182,0.9780012856352674,0.9904022977172924
7.0,0.9828127534501815,0.9748588230904881,0.9882654276502413
8.0,0.979501389725619,0.9709785604115032,0.9855399175757157
9.0,0.9748529085540398,0.9656032727612214,0.981638867943887
10.0,0.9708630603607765,0.9610434562238279,0.97823551542257
11.0,0.9615342457794105,0.9505264504731258,0.9701313501085506
12.0,0.9321336156096439,0.9182035471346164,0.9437643534986124
13.0,0.9194013807450978,0.9044488113961305,0.9321024371644347
14.0,0.9120139335659921,0.8965146507201095,0.9252892708642566
15.0,0.8998896715244942,0.8835544523735106,0.9140458046079537
16.0,0.89112670094036,0.8742307998975045,0.9058762197620515
17.0,0.881661015194408,0.864193456519723,0.8970172773790396
18.0,0.8674406762396595,0.849175981026396,0.883647108494908
19.0,0.8545646037017274,0.8356355374701646,0.8714839244338939
20.0,0.8477607453920004,0.8284986085779338,0.8650385761567719
21.0,0.8402584379106547,0.8206427104974129,0.8579178504046473
22.0,0.8327439315553561,0.8127881486630417,0.8507714896681089
23.0,0.8149238968060233,0.7942132100835734,0.8337730888779932
24.0,0.7716353592859726,0.7493681344027474,0.7922065157177057
25.0,0.7627028039246926,0.7401585022266534,0.7835858300091563
26.0,0.7516890450232531,0.7288205551730306,0.7729392377586767
27.0,0.7413352014278917,0.7181782744648846,0.7629142551379209
28.0,0.7268263111855939,0.7032926897841134,0.7488390325429971
29.0,0.7129423319843405,0.6890738282322769,0.7353444279605991
30.0,0.7010715977593319,0.6769347537087428,0.7237885312578464
31.0,0.6926587385862204,0.6683417853399997,0.715588750760876
32.0,0.6800138528919485,0.655443068861912,0.7032474798589586
33.0,0.6638397902068245,0.6389745974419347,0.6874320730659697
34.0,0.6575040976173638,0.6325324802439946,0.6812281290170525
35.0,0.645472268059242,0.6203089151385915,0.6694360771308004
36.0,0.6169115482336118,0.5913514648554329,0.641386606636884
37.0,0.6068921031346902,0.581215248264893,0.6315246001511594
38.0,0.5990103875095643,0.5732496189098132,0.6237589606437213
39.0,0.5903811862489218,0.5645352729985477,0.6152501997532273
40.0,0.5803015074593061,0.5543665918221302,0.6053009920831868
41.0,0.572371921643092,0.5463747990763664,0.5974664147474754
42.0,0.5601171071998517,0.5340381827226508,0.5853444637041388
43.0,0.5529083928214752,0.5267894027258577,0.578206053701574
44.0,0.5464035882000463,0.520252593298446,0.571760609789313
45.0,0.5355478877722307,0.5093534196737802,0.5609942635245316
46.0,0.5283009610094132,0.5020843746582393,0.5538002438132515
47.0,0.5203293415703135,0.4940952842641737,0.5458801378319924
48.0,0.5035914746386809,0.4773402693309957,0.5292313080398402
49.0,0.4962718311119559,0.47002077503215006,0.5219431117954509
50.0,0.4830379156156367,0.45679948963113715,0.5087539948776053
51.0,0.47566329094974924,0.4494394156302049,0.5013970253911814
52.0,0.4704930377872517,0.44428267519495684,0.4962359320183015
53.0,0.4578772938718209,0.4317097110110813,0.4836330095997239
54.0,0.4549088835387783,0.42875408090221817,0.48066498371470207
55.0,0.4474513608578145,0.4213312296921845,0.4732059436763835
56.0,0.4399813882224587,0.4139019341184532,0.46572869164492936
57.0,0.43247317340637603,0.4064392220217983,0.45820870381140527
58.0,0.4272082825996898,0.40120981008470746,0.452932106637294
59.0,0.4173960782290255,0.3914708626265082,0.44309120829243076
60.0,0.40444765974381836,0.3786308923198171,0.43009365973599006
61.0,0.3983312490104525,0.37257181780072085,0.4239481744816579
62.0,0.3944789158478756,0.3687563788201084,0.4200768178220828
63.0,0.39059624935330983,0.3649111216133766,0.4161748115470499
64.0,0.38435918349537274,0.3587369564366673,0.4099040254016111
65.0,0.38201552993747434,0.35641802706551107,0.40754666432176395
66.0,0.3765357989752563,0.3509983906588417,0.4020327096980819
67.0,0.37027324930415006,0.34480960248823905,0.3957261642808647
68.0,0.36633417218389297,0.34091824677009397,0.39175819731568323
69.0,0.3616072796395849,0.33625152086767707,0.3869938515289044
70.0,0.3592334900577058,0.33390853196234865,0.38460071714061744
71.0,0.35287537518942763,0.327635271284982,0.3781886028165639
72.0,0.34073516732740594,0.3156606406925803,0.36594253955270833
73.0,0.3366787962877939,0.31166407238591903,0.3618465488395023
74.0,0.3317993934430432,0.3068593013683718,0.3569169509173742
75.0,0.33098215355771543,0.30605468111270284,0.35609120395854904
76.0,0.32853043390173253,0.30364146265943504,0.3536133492788298
77.0,0.3260726002316447,0.301222817905166,0.35112877291725236
78.0,0.3202940984553877,0.2955376264781123,0.34528644577973194
79.0,0.3178111984673614,0.2930961218995939,0.3427749049740573
80.0,0.314439196361607,0.28977808139248196,0.33936642391090427
81.0,0.3110213790098502,0.2864140341373174,0.3359127243875824
82.0,0.30842231456130004,0.28385493003503576,0.33328743134782535
83.0,0.3031501382440131,0.2786628065546282,0.3279633921077772
84.0,0.2950780931428411,0.2707128367302318,0.3198133329433618
85.0,0.2923458885767038,0.26802209503530294,0.31705484054309885
86.0,0.28957920824317035,0.2652965975268758,0.3142625176653134
87.0,0.2877229312672526,0.2634680530198478,0.3123890187912479
88.0,0.28586064692248053,0.26163393412447233,0.3105091743151751
89.0,0.2839799847716747,0.25978118461446587,0.30861140425858613
90.0,0.27919917694723567,0.2550692645100044,0.3037896173384169
91.0,0.27726700271230675,0.2531650141708545,0.3018409523952196
92.0,0.27236829241703625,0.24833613805162844,0.2969018649112516
93.0,0.2673798621529879,0.24341829818527186,0.2918735417788813
94.0,0.26132597848159944,0.23745378816064447,0.2857683583850304
95.0,0.25622195546438065,0.23242832779356018,0.2806186107360585
