group,median,n
Healthcare/HealthTech,59.0,117
Consumer/Retail,51.0,114
Finance/Insurance,49.0,269
Consulting,48.0,33
Enterprise Tech/Cloud,48.0,376
Other,47.0,181
Industrial/Energy,45.0,69
