size_tier,profile_count,profile_pct,usable_episode_count,usable_episode_pct
1-10,14,1.8,0,0.0
10000+,264,34.0,46,30.3
1001-5000,143,18.4,22,14.5
101-250,43,5.5,8,5.3
11-50,16,2.1,2,1.3
251-500,65,8.4,17,11.2
5001-10000,73,9.4,7,4.6
501-1000,75,9.7,23,15.1
51-100,23,3.0,8,5.3
,61,7.9,19,12.5
