time_months,hazard_rate,hazard_smoothed,is_peak,is_low_risk_threshold
0.0,0.0,0.0,False,False
1.0,0.0,0.00032883923319149133,False,False
2.0,0.0,0.0010585646169664286,False,False
3.0,0.0013153569327659653,0.0016593981654719296,False,False
4.0,0.003977466152066178,0.0024403009482294458,False,False
5.0,0.004663565907999434,0.0028884804731291367,False,False
6.0,0.004685416696545097,0.003450784179052313,False,False
7.0,0.0026890771493981447,0.0040241319504956685,False,False
8.0,0.003373822235539059,0.00404451533018424,False,False
9.0,0.004755443561426098,0.004875907468742706,False,False
10.0,0.0040997664301976044,0.009268847317296677,False,False
11.0,0.00965191873935023,0.011112068956121343,False,False
12.0,0.031043055787868923,0.01189385849611524,False,False
13.0,0.01374840698234614,0.013330972124264337,False,False
14.0,0.008064559475502442,0.014277989111901887,False,False
15.0,0.013378125330320678,0.014448486105235267,False,False
16.0,0.009781868356022905,0.011983681309233626,False,False
17.0,0.010674900699350509,0.01218380294338243,False,False
18.0,0.01625422701185908,0.01217145196327992,False,False
19.0,0.01494913678723897,0.01142265721547305,False,False
20.0,0.00799045359488737,0.011288954435545525,False,False
21.0,0.008885356843479464,0.013113548113457293,False,False
22.0,0.008979651676457756,0.01949767375115341,False,False
23.0,0.021622462766821116,0.01894589220553448,False,False
24.0,0.05455898083803579,0.020037333454074584,False,False
25.0,0.011638447513525385,0.02086701353269745,False,False
26.0,0.014539101086127992,0.02266307997080208,True,False
27.0,0.013863437315216665,0.022272286831870176,False,False
28.0,0.019756050305085537,0.015976161465476462,False,False
29.0,0.019277703933229695,0.016047505279282042,False,False
30.0,0.01678222863967349,0.016693461933154612,False,False
31.0,0.012066510396358865,0.018392845008628218,False,False
32.0,0.018414841009363414,0.016697626125627085,False,False
33.0,0.02405973576805831,0.016561128785283152,False,False
34.0,0.009584737007078736,0.0213025898270008,False,False
35.0,0.018458719891166098,0.022019015155552307,False,False
36.0,0.04523099488997939,0.021127261202659547,False,False
37.0,0.016365062367667882,0.019534265732739975,False,False
38.0,0.013064317292006855,0.020805144697808142,False,False
39.0,0.014501762948540886,0.020020393857567893,False,False
40.0,0.01721001079748774,0.0160867845434504,False,False
41.0,0.013750214849724607,0.01551680127953888,False,False
42.0,0.021629339005274417,0.015310528425440229,False,False
43.0,0.012945162784198772,0.0162359254369413,False,False
44.0,0.011826680167414949,0.015636742318160035,False,False
45.0,0.02005414501754732,0.015877316514547157,False,False
46.0,0.013614912084800146,0.017717985920141732,False,False
47.0,0.01519366002804734,0.017998931503397486,False,False
48.0,0.03267335543884187,0.020529216188860094,False,False
49.0,0.014630836283733295,0.019749040334144336,False,False
50.0,0.027008388280190587,0.01929997884195922,False,False
51.0,0.015373089889252789,0.02129407098316512,False,False
52.0,0.010920543131689442,0.016931645563625402,False,False
53.0,0.02715821287528275,0.017245780895731144,False,False
54.0,0.0064988029216035414,0.015547924602947885,False,False
55.0,0.016515648276367756,0.01585196364569086,False,False
56.0,0.016821250523491038,0.01607152509943847,False,False
57.0,0.017197324145710624,0.015414376645050224,False,False
58.0,0.01223791185417511,0.01957858831346071,False,False
59.0,0.023215322148953277,0.01936329460175153,False,False
60.0,0.031484072932066454,0.018177888027227862,False,False
61.0,0.015223886006112686,0.01695858402189095,False,False
62.0,0.009708811076349022,0.01759905589846526,False,False
63.0,0.009881500113689157,0.014748168295228847,False,False
64.0,0.016080743113620954,0.011906361995042284,False,False
65.0,0.006109996529534811,0.012161433075332498,False,False
66.0,0.014433235130947075,0.012323940936469935,False,False
67.0,0.016754312487853973,0.012839215895349643,False,False
68.0,0.010683858243173638,0.011255586786643216,False,False
69.0,0.012973149866967404,0.013210204164262477,False,False
70.0,0.006578968461382395,0.016632761975105954,False,False
71.0,0.017837700795250377,0.01583401979580475,False,False
72.0,0.03496858199600794,0.0164835522717602,False,False
73.0,0.01196185941204675,0.014731869658464328,False,False
74.0,0.014581053098906338,0.014873003732464843,False,False
75.0,0.0024630541871921707,0.013150058808289048,False,False
76.0,0.007425772905385486,0.010298229761354527,False,True
77.0,0.007500031250195605,0.009599929109462982,False,False
78.0,0.017857607714400814,0.008945179896327668,False,False
79.0,0.007772055500697483,0.010353696433333948,False,False
80.0,0.010652557820094444,0.01051272292541953,False,False
81.0,0.010914153409229854,0.012132227088426836,False,False
82.0,0.008379931857898981,0.013647245514949446,False,False
83.0,0.017217056228239436,0.01482228351779984,False,False
84.0,0.02694771827353648,0.015864714942226188,False,False
